UF;Cod;Date;indGeneral;O1;O2;O3;O4;C1;C2;C3
AC;12;3-3-20 0:00:00;0;0;0;0;0;0;0;0
AC;12;4-3-20 0:00:00;0;0;0;0;0;0;0;0
AC;12;5-3-20 0:00:00;0;0;0;0;0;0;0;0
AC;12;6-3-20 0:00:00;0;0;0;0;0;0;0;0
AC;12;7-3-20 0:00:00;0;0;0;0;0;0;0;0
AC;12;8-3-20 0:00:00;0;0;0;0;0;0;0;0
AC;12;9-3-20 0:00:00;0;0;0;0;0;0;0;0
AC;12;10-3-20 0:00:00;0;0;0;0;0;0;0;0
AC;12;11-Mar-2020 00:00:00;0;0;0;0;0;0;0;0
AC;12;12-Mar-2020 00:00:00;0;0;0;0;0;0;0;0
AC;12;13-Mar-2020 00:00:00;0;0;0;0;0;0;0;0
AC;12;14-Mar-2020 00:00:00;0;0;0;0;0;0;0;0
AC;12;15-Mar-2020 00:00:00;0;0;0;0;0;0;0;0
AC;12;16-Mar-2020 00:00:00;25;0.5;0;1;0;0;0.25;0
AC;12;17-Mar-2020 00:00:00;25;0.5;0;1;0;0;0.25;0
AC;12;18-Mar-2020 00:00:00;39.2857142857143;0.5;1;1;0;0;0.25;0
AC;12;19-Mar-2020 00:00:00;39.2857142857143;0.5;1;1;0;0;0.25;0
AC;12;20-Mar-2020 00:00:00;53.5714285714286;0.5;1;1;0;1;0.25;0
AC;12;21-Mar-2020 00:00:00;53.5714285714286;0.5;1;1;0;1;0.25;0
AC;12;22-Mar-2020 00:00:00;53.5714285714286;0.5;1;1;0;1;0.25;0
AC;12;23-Mar-2020 00:00:00;53.5714285714286;0.5;1;1;0;1;0.25;0
AC;12;24-Mar-2020 00:00:00;53.5714285714286;0.5;1;1;0;1;0.25;0
AC;12;25-Mar-2020 00:00:00;53.5714285714286;0.5;1;1;0;1;0.25;0
AC;12;26-Mar-2020 00:00:00;53.5714285714286;0.5;1;1;0;1;0.25;0
AC;12;27-Mar-2020 00:00:00;53.5714285714286;0.5;1;1;0;1;0.25;0
