date,state,cases,deaths,population
2020-03-17,AC,3,0,407319.0
2020-03-18,AC,3,0,407319.0
2020-03-19,AC,4,0,407319.0
2020-03-20,AC,7,0,407319.0
2020-03-21,AC,11,0,407319.0
2020-03-22,AC,11,0,407319.0
2020-03-23,AC,17,0,407319.0
2020-03-24,AC,21,0,407319.0
2020-03-25,AC,23,0,407319.0
2020-03-26,AC,23,0,407319.0
2020-03-27,AC,25,0,407319.0
2020-03-28,AC,25,0,407319.0
2020-03-29,AC,34,0,441079.0
2020-03-30,AC,41,0,441079.0
2020-03-31,AC,42,0,441079.0
2020-04-01,AC,43,0,441079.0
2020-04-02,AC,45,0,441079.0
2020-04-03,AC,46,0,441079.0
2020-04-04,AC,46,0,441079.0
2020-04-05,AC,48,0,441079.0
2020-04-06,AC,50,1,460840.0
2020-04-07,AC,50,2,460840.0
2020-04-08,AC,58,2,471106.0
2020-04-09,AC,62,2,471106.0
2020-04-10,AC,70,2,471106.0
2020-04-11,AC,72,2,471106.0
2020-04-12,AC,77,2,471106.0
2020-04-13,AC,90,3,559482.0
2020-04-14,AC,99,3,559482.0
2020-04-15,AC,101,4,559482.0
2020-04-16,AC,115,5,559482.0
2020-04-17,AC,135,5,559482.0
2020-04-18,AC,142,6,559482.0
2020-04-19,AC,163,6,582506.0
2020-04-20,AC,176,8,582506.0
2020-04-21,AC,195,8,582506.0
2020-04-22,AC,214,8,582506.0
2020-04-23,AC,227,10,582506.0
2020-04-24,AC,234,11,582506.0
2020-04-25,AC,258,11,582506.0
2020-04-26,AC,279,11,582506.0
2020-04-27,AC,301,14,582506.0
2020-04-28,AC,317,16,582506.0
2020-04-29,AC,354,18,620806.0
2020-04-30,AC,404,19,620806.0
2020-05-01,AC,487,19,628223.0
2020-05-02,AC,553,22,705570.0
2020-05-03,AC,658,25,705570.0
2020-05-04,AC,733,28,751418.0
2020-05-05,AC,817,29,751418.0
2020-05-06,AC,943,35,751418.0
2020-05-07,AC,1014,36,769829.0
2020-05-08,AC,1177,38,788102.0
2020-05-09,AC,1335,40,814380.0
2020-05-10,AC,1447,41,814380.0
2020-05-11,AC,1460,44,814380.0
2020-05-12,AC,1590,51,852177.0
2020-05-13,AC,1694,52,873618.0
2020-05-14,AC,1740,55,873618.0
2020-05-15,AC,1785,57,873618.0
2020-05-16,AC,1867,59,873618.0
2020-05-17,AC,1996,62,873618.0
2020-05-18,AC,2234,67,881935.0
2020-05-19,AC,2482,73,881935.0
2020-05-20,AC,2482,73,881935.0
2020-05-21,AC,3103,78,881935.0
2020-05-22,AC,3343,80,881935.0
