date,state,city,cases,deaths,population
2020-03-08,AL,Maceió,1,0,1018948.0
2020-03-09,AL,Maceió,1,0,1018948.0
2020-03-10,AL,Maceió,1,0,1018948.0
2020-03-11,AL,Maceió,1,0,1018948.0
2020-03-12,AL,Maceió,1,0,1018948.0
2020-03-13,AL,Maceió,1,0,1018948.0
2020-03-14,AL,Maceió,1,0,1018948.0
2020-03-15,AL,Maceió,1,0,1018948.0
2020-03-16,AL,Maceió,1,0,1018948.0
2020-03-17,AL,Maceió,1,0,1018948.0
2020-03-18,AL,Maceió,1,0,1018948.0
2020-03-19,AL,Maceió,4,0,1018948.0
2020-03-20,AL,Maceió,6,0,1018948.0
2020-03-21,AL,Maceió,7,0,1018948.0
2020-03-22,AL,Maceió,7,0,1018948.0
2020-03-23,AL,Maceió,8,0,1018948.0
2020-03-24,AL,Maceió,10,0,1018948.0
2020-03-25,AL,Maceió,10,0,1018948.0
2020-03-26,AL,Maceió,10,0,1018948.0
2020-03-27,AL,Maceió,11,0,1018948.0
2020-03-28,AL,Maceió,13,0,1018948.0
2020-03-29,AL,Maceió,12,0,1018948.0
2020-03-30,AL,Maceió,12,0,1018948.0
2020-03-31,AL,Maceió,13,1,1018948.0
2020-04-01,AL,Maceió,13,1,1018948.0
2020-04-02,AL,Maceió,13,1,1018948.0
2020-04-03,AL,Maceió,17,2,1018948.0
2020-04-04,AL,Maceió,17,2,1018948.0
2020-04-05,AL,Maceió,20,2,1018948.0
2020-04-06,AL,Maceió,22,2,1018948.0
2020-04-07,AL,Maceió,24,2,1018948.0
2020-04-08,AL,Maceió,27,2,1018948.0
2020-04-09,AL,Maceió,27,3,1018948.0
2020-04-10,AL,Maceió,34,3,1018948.0
2020-04-11,AL,Maceió,37,3,1018948.0
2020-04-12,AL,Maceió,37,3,1018948.0
2020-04-13,AL,Maceió,47,4,1018948.0
2020-04-14,AL,Maceió,59,4,1018948.0
2020-04-15,AL,Maceió,67,3,1018948.0
2020-04-16,AL,Maceió,70,3,1018948.0
2020-04-17,AL,Maceió,90,5,1018948.0
2020-04-18,AL,Maceió,107,6,1018948.0
2020-04-19,AL,Maceió,131,9,1018948.0
2020-04-20,AL,Maceió,140,12,1018948.0
2020-04-21,AL,Maceió,176,13,1018948.0
2020-04-22,AL,Maceió,205,14,1018948.0
2020-04-23,AL,Maceió,280,14,1018948.0
2020-04-24,AL,Maceió,355,18,1018948.0
2020-04-25,AL,Maceió,427,18,1018948.0
2020-04-26,AL,Maceió,472,20,1018948.0
2020-04-27,AL,Maceió,535,22,1018948.0
2020-04-28,AL,Maceió,645,24,1018948.0
2020-04-29,AL,Maceió,791,26,1018948.0
2020-04-30,AL,Maceió,853,32,1018948.0
2020-05-01,AL,Maceió,1008,38,1018948.0
2020-05-02,AL,Maceió,1124,41,1018948.0
2020-05-03,AL,Maceió,1179,43,1018948.0
2020-05-04,AL,Maceió,1260,46,1018948.0
2020-05-05,AL,Maceió,1296,50,1018948.0
2020-05-06,AL,Maceió,1358,56,1018948.0
2020-05-07,AL,Maceió,1473,61,1018948.0
2020-05-08,AL,Maceió,1581,71,1018948.0
2020-05-09,AL,Maceió,1675,73,1018948.0
2020-05-10,AL,Maceió,1725,78,1018948.0
2020-05-11,AL,Maceió,1779,85,1018948.0
2020-05-12,AL,Maceió,1939,93,1018948.0
2020-05-13,AL,Maceió,2064,104,1018948.0
2020-05-14,AL,Maceió,2170,112,1018948.0
2020-05-15,AL,Maceió,2310,119,1018948.0
2020-05-16,AL,Maceió,2524,131,1018948.0
2020-05-17,AL,Maceió,2593,135,1018948.0
2020-05-18,AL,Maceió,2746,144,1018948.0
2020-05-19,AL,Maceió,2897,154,1018948.0
2020-05-20,AL,Maceió,2905,162,1018948.0
2020-05-21,AL,Maceió,3156,169,1018948.0
2020-05-22,AL,Maceió,3277,184,1018948.0
