date,state,cases,deaths,population
2020-03-23,PA,1,0,279349.0
2020-03-24,PA,1,0,279349.0
2020-03-25,PA,3,0,809947.0
2020-03-26,PA,7,0,1111987.0
2020-03-27,PA,7,0,1111987.0
2020-03-28,PA,8,0,1320260.0
2020-03-29,PA,8,0,1320260.0
2020-03-30,PA,9,0,1320260.0
2020-03-31,PA,13,0,1723138.0
2020-04-01,PA,16,1,2152407.0
2020-04-02,PA,21,1,2152407.0
2020-04-03,PA,33,1,2453334.0
2020-04-04,PA,37,1,2453334.0
2020-04-05,PA,37,1,2453334.0
2020-04-06,PA,48,2,2591224.0
2020-04-07,PA,54,2,2622706.0
2020-04-08,PA,54,2,2622706.0
2020-04-09,PA,55,2,2622706.0
2020-04-10,PA,70,2,2622706.0
2020-04-11,PA,76,3,2780023.0
2020-04-12,PA,79,3,2780023.0
2020-04-13,PA,92,3,2937589.0
2020-04-14,PA,112,5,3284213.0
2020-04-15,PA,159,5,3635077.0
2020-04-16,PA,168,6,3645902.0
2020-04-17,PA,192,10,3685120.0
2020-04-18,PA,195,11,3685120.0
2020-04-19,PA,218,12,3757807.0
2020-04-20,PA,292,12,4166878.0
2020-04-21,PA,352,14,4415094.0
2020-04-22,PA,419,17,4615988.0
2020-04-23,PA,463,20,4758417.0
2020-04-24,PA,598,35,5172155.0
2020-04-25,PA,650,36,5206264.0
2020-04-26,PA,827,47,5433659.0
2020-04-27,PA,918,55,5483738.0
2020-04-28,PA,975,60,5612219.0
2020-04-29,PA,1099,67,5954159.0
2020-04-30,PA,1341,85,6055650.0
2020-05-01,PA,1567,107,6062359.0
2020-05-02,PA,1747,128,6316131.0
2020-05-03,PA,1898,137,6351506.0
2020-05-04,PA,2070,158,6356989.0
2020-05-05,PA,2323,175,6543944.0
2020-05-06,PA,2626,194,6543944.0
2020-05-07,PA,2861,221,6627297.0
2020-05-08,PA,3237,277,6770448.0
2020-05-09,PA,3577,293,6857093.0
2020-05-10,PA,3836,325,6888061.0
2020-05-11,PA,4324,384,6908365.0
2020-05-12,PA,4921,424,6949368.0
2020-05-13,PA,5732,469,6949368.0
2020-05-14,PA,6424,505,6999878.0
2020-05-15,PA,7047,551,7007467.0
2020-05-16,PA,7621,570,7007467.0
2020-05-17,PA,8023,619,7007467.0
2020-05-18,PA,8860,680,7027828.0
2020-05-19,PA,8860,680,7027828.0
2020-05-20,PA,11444,864,7041301.0
2020-05-21,PA,12578,926,7041301.0
2020-05-22,PA,14070,1000,7062750.0
