date,state,cases,deaths,population
2020-03-10,RS,1,0,66712.0
2020-03-11,RS,1,0,66712.0
2020-03-12,RS,2,0,577618.0
2020-03-13,RS,2,0,577618.0
2020-03-14,RS,2,0,577618.0
2020-03-15,RS,2,0,577618.0
2020-03-16,RS,2,0,577618.0
2020-03-17,RS,2,0,577618.0
2020-03-18,RS,4,0,659352.0
2020-03-19,RS,11,0,1226459.0
2020-03-20,RS,18,0,1448233.0
2020-03-21,RS,34,0,2350626.0
2020-03-22,RS,39,0,2725665.0
2020-03-23,RS,55,0,3352710.0
2020-03-24,RS,65,0,3467679.0
2020-03-25,RS,75,0,4142303.0
2020-03-26,RS,87,0,4438263.0
2020-03-27,RS,90,0,4593718.0
2020-03-28,RS,93,0,4649763.0
2020-03-29,RS,95,0,4896511.0
2020-03-30,RS,111,2,4923373.0
2020-03-31,RS,115,2,5082094.0
2020-04-01,RS,126,2,5181368.0
2020-04-02,RS,154,2,5665734.0
2020-04-03,RS,177,2,5665734.0
2020-04-04,RS,177,3,5665734.0
2020-04-05,RS,214,2,5908511.0
2020-04-06,RS,248,3,5964887.0
2020-04-07,RS,283,3,6001151.0
2020-04-08,RS,302,4,6089618.0
2020-04-09,RS,333,8,6183464.0
2020-04-10,RS,337,9,6207953.0
2020-04-11,RS,342,10,6233830.0
2020-04-12,RS,350,10,6282871.0
2020-04-13,RS,370,10,6462801.0
2020-04-14,RS,393,10,6462801.0
2020-04-15,RS,412,11,6508147.0
2020-04-16,RS,431,13,6538892.0
2020-04-17,RS,462,15,6543846.0
2020-04-18,RS,480,15,6578861.0
2020-04-19,RS,495,17,6679400.0
2020-04-20,RS,514,17,6679400.0
2020-04-21,RS,525,17,6721704.0
2020-04-22,RS,569,18,6759387.0
2020-04-23,RS,626,19,6774836.0
2020-04-24,RS,676,23,6841063.0
2020-04-25,RS,741,23,6906767.0
2020-04-26,RS,781,26,7001607.0
2020-04-27,RS,826,31,7035763.0
2020-04-28,RS,909,35,7149441.0
2020-04-29,RS,973,37,7196242.0
2020-04-30,RS,1078,43,7290125.0
2020-05-01,RS,1164,47,7301518.0
2020-05-02,RS,1212,49,7314433.0
2020-05-03,RS,1230,51,7321080.0
2020-05-04,RS,1304,60,7397749.0
2020-05-05,RS,1552,66,7496076.0
2020-05-06,RS,1623,73,7523181.0
2020-05-07,RS,1703,74,7534064.0
2020-05-08,RS,1995,78,7666366.0
2020-05-09,RS,2035,80,7697138.0
2020-05-10,RS,2068,83,7761326.0
2020-05-11,RS,2279,87,7922699.0
2020-05-12,RS,2371,92,7939941.0
2020-05-13,RS,2433,99,7982377.0
2020-05-14,RS,2527,105,7982377.0
2020-05-15,RS,3098,111,8121051.0
2020-05-16,RS,3137,117,8126498.0
2020-05-17,RS,3133,123,8152225.0
2020-05-18,RS,3147,127,8158175.0
2020-05-19,RS,3195,135,8158175.0
2020-05-20,RS,4372,136,8296781.0
2020-05-21,RS,4872,140,8428097.0
2020-05-22,RS,5317,146,8439245.0
