,date,indUF,new_confirmed,state
0,2020-03-17,40.8717275674732,3,AC
1,2020-03-18,42.7929253865848,0,AC
2,2020-03-19,45.1036395737269,1,AC
3,2020-03-20,47.9398213140045,3,AC
4,2020-03-21,50.940040009446896,4,AC
5,2020-03-22,52.72466424015229,0,AC
6,2020-03-23,54.11327382682801,6,AC
7,2020-03-24,54.9591554678596,4,AC
8,2020-03-25,55.106026778249394,2,AC
9,2020-03-26,54.466012621385005,0,AC
10,2020-03-27,53.9576477584939,2,AC
11,2020-03-28,52.9478948663581,0,AC
12,2020-03-29,51.8424722485729,9,AC
13,2020-03-30,51.3007979562016,7,AC
14,2020-03-31,50.9681213410656,1,AC
15,2020-04-01,50.4267028379002,1,AC
16,2020-04-02,50.29733418787539,2,AC
17,2020-04-03,49.7699351796492,1,AC
18,2020-04-04,49.495521091907904,0,AC
19,2020-04-05,49.4150464419008,2,AC
20,2020-04-06,48.9792745909453,2,AC
21,2020-04-07,49.78057006561029,0,AC
22,2020-04-08,49.42889797271751,8,AC
23,2020-04-09,49.107336488627794,4,AC
24,2020-04-10,49.0705488593013,8,AC
25,2020-04-11,49.22521036840261,2,AC
26,2020-04-12,50.072149680358294,5,AC
27,2020-04-13,49.7157720762141,13,AC
28,2020-04-14,48.46131082183639,9,AC
29,2020-04-15,48.480131165063106,2,AC
30,2020-04-16,48.618757857434595,14,AC
31,2020-04-17,48.683348128147,20,AC
32,2020-04-18,49.5516209047637,7,AC
33,2020-04-19,48.7107169797042,21,AC
34,2020-04-20,49.1309893096684,13,AC
35,2020-04-21,49.1919606842222,19,AC
36,2020-04-22,49.1800872090967,19,AC
37,2020-04-23,49.124025457242794,13,AC
38,2020-04-24,48.98374559204329,7,AC
39,2020-04-25,47.8459632755203,24,AC
40,2020-04-26,47.495029986022,21,AC
41,2020-04-27,46.9791798885476,22,AC
42,2020-04-28,47.794224503276205,16,AC
43,2020-04-29,47.537662221702206,37,AC
44,2020-04-30,47.231066443981106,50,AC
45,2020-05-01,47.1612217002087,83,AC
46,2020-05-02,47.1782770357191,66,AC
47,2020-05-03,47.5576170719532,105,AC
48,2020-05-04,48.03205319349979,75,AC
49,2020-05-05,47.2812420170872,84,AC
50,2020-05-06,47.459714982816,126,AC
51,2020-05-07,47.063842278874596,71,AC
52,2020-05-08,47.265968466311705,163,AC
53,2020-05-09,47.606646931764494,158,AC
54,2020-05-10,47.7912973268642,112,AC
55,2020-05-11,48.3752435253586,13,AC
56,2020-05-12,48.52425995748239,130,AC
57,2020-05-13,48.7389089011459,104,AC
