,R0,beta0,beta1,delta,state,tcut0,tcut0_date,tcut1,tcut1_date,type
median,1.91,1.141240012930082,1.08,0.3124935029735397,TO,128.0,2020-05-07,,2019-12-31,estado
lower,1.71,1.0715494655619207,1.02,0.28255951564042164,TO,125.0,2020-05-04,,2019-12-31,estado
upper,2.13,1.2109305602982432,1.13,0.3424274903066578,TO,131.0,2020-05-10,,2019-12-31,estado
median,1.35,0.9646199391231072,0.88,0.21314512222559528,TO,129.0,2020-05-08,,2019-12-31,capital
lower,1.16,0.8826059500567276,0.79,0.1837431593034049,TO,125.0,2020-05-04,,2019-12-31,capital
upper,1.55,1.0466339281894868,0.97,0.24254708514778567,TO,134.0,2020-05-13,,2019-12-31,capital
median,2.43,1.3853574593332256,1.05,0.3419796283103438,TO,129.0,2020-05-08,,2019-12-31,interior
lower,2.26,1.3361229097972476,1.01,0.3180738942207196,TO,128.0,2020-05-07,,2019-12-31,interior
upper,2.62,1.4345920088692037,1.1,0.365885362399968,TO,130.0,2020-05-09,,2019-12-31,interior
median,2.21,1.3849417178072199,0.94,0.28502632238934533,AL,119.0,2020-04-28,,2019-12-31,estado
lower,2.02,1.3255246428070393,0.9,0.2572684678392371,AL,119.0,2020-04-28,,2019-12-31,estado
upper,2.42,1.4443587928074004,0.98,0.31278417693945354,AL,120.0,2020-04-29,,2019-12-31,estado
median,2.16,1.397814521152426,0.81,0.26532988888426756,AL,120.0,2020-04-29,,2019-12-31,capital
lower,1.96,1.333943088195543,0.76,0.2389131494921573,AL,120.0,2020-04-29,,2019-12-31,capital
upper,2.36,1.461685954109309,0.85,0.2917466282763778,AL,121.0,2020-04-30,,2019-12-31,capital
median,1.98,1.0792302339870954,1.48,0.36847065901146303,AL,140.0,2020-05-19,,2019-12-31,interior
lower,1.8,1.0258246118552725,1.41,0.3407870701939082,AL,137.0,2020-05-16,,2019-12-31,interior
upper,2.16,1.1326358561189183,1.55,0.39615424782901787,AL,143.0,2020-05-22,,2019-12-31,interior
median,3.19,1.6204130851330203,0.81,0.41718155162568304,AM,97.0,2020-04-06,,2019-12-31,estado
lower,3.0,1.5756864892287359,0.78,0.394608130703204,AM,96.0,2020-04-05,,2019-12-31,estado
upper,3.38,1.6651396810373047,0.83,0.4397549725481621,AM,97.0,2020-04-06,,2019-12-31,estado
median,2.99,1.5994659025163234,0.77,0.38258778835691765,AM,97.0,2020-04-06,,2019-12-31,capital
lower,2.81,1.5533692450278582,0.74,0.35976720004620455,AM,96.0,2020-04-05,,2019-12-31,capital
upper,3.18,1.6455625600047885,0.79,0.40540837666763074,AM,97.0,2020-04-06,,2019-12-31,capital
median,2.54,1.5541492525416256,0.98,0.29857840701528016,AM,120.0,2020-04-29,,2019-12-31,interior
lower,2.34,1.495103373478144,0.94,0.2725591316270665,AM,119.0,2020-04-28,,2019-12-31,interior
upper,2.76,1.6131951316051072,1.02,0.3245976824034938,AM,120.0,2020-04-29,,2019-12-31,interior
median,4.11,1.7700779814477015,0.67,0.5437334600174171,CE,93.0,2020-04-02,,2019-12-31,estado
lower,3.97,1.740922369487595,0.66,0.5290345942983119,CE,93.0,2020-04-02,,2019-12-31,estado
