,state,type,beta0,beta1,beta2,tcut0,tcut1,delta,e0,ia0,is0
0,AC,estado,1.2573867740327445,1.7922312449073663,,136.56810334034222,,0.20835047113788857,3.4114148063315768e-06,1.066966812075815e-05,9.071394128318722e-06
1,AC,estado,1.146743179798894,1.6078876070589203,,139.3644813462604,,0.26811265541933177,1.6853812905064906e-07,5.758713121539023e-06,1.0959006931965708e-05
2,AC,estado,0.7606997251003212,1.2883141127061972,,139.63470417501506,,0.5395874887995065,9.113368979131331e-06,8.162897184886465e-06,1.0683941672235545e-05
3,AC,estado,0.7617512440674501,1.0497385356747215,,140.03491472465313,,0.5483159332812474,6.526440012410549e-06,7.815892472738716e-06,1.0581815624876499e-05
4,AC,estado,0.8584230492944102,1.242961467256115,,138.29173748896125,,0.4436465033144024,8.719013590272525e-06,9.30806783983091e-06,1.022631784159206e-05
5,AC,estado,0.7120275954121482,1.3163664479499106,,139.62863381288264,,0.5876717273991033,9.908091607372181e-06,9.660059160792788e-06,1.0814927750466972e-05
6,AC,estado,1.3169174132640955,1.9647421613426541,,138.25741564213484,,0.18983519344032468,6.418373612020894e-06,9.107178158305743e-06,8.66642935750721e-06
7,AC,estado,1.0044291356996262,1.2858712445954474,,135.2830382405158,,0.3326530251918431,1.0871056819940349e-05,4.3066203812264844e-06,1.0556940881691237e-05
8,AC,estado,0.7848392112744923,1.3413569722461753,,139.92883258399013,,0.5239271336344209,9.70131459449734e-06,4.499381820813076e-06,1.0268502881438449e-05
9,AC,estado,0.9619897094425601,1.5331119395180735,,139.52974532196282,,0.36604163314913146,5.658814282707178e-06,9.707363234931191e-06,1.0708848154631207e-05
10,AC,estado,0.9989827118278318,1.6307440154373758,,138.91614824251832,,0.33623983447343325,9.005009700676935e-06,4.87431999237354e-06,1.0809909388108376e-05
11,AC,estado,1.006809432384408,1.397886174502102,,137.34166482993598,,0.3297416281453953,8.953325827371137e-06,6.422397410329097e-06,1.0840328162322406e-05
12,AC,estado,1.456154770006535,1.8726952990313566,,138.41079297294894,,0.1420896991807094,1.9819235225751286e-06,5.357173726602865e-06,1.0500425992716536e-05
13,AC,estado,1.1067817683296988,1.4927970752019981,,136.4023448117256,,0.2770991313364056,5.625831961025072e-06,4.122469173689771e-06,1.1146570274712035e-05
14,AC,estado,0.9489816173809996,1.4557294373946716,,139.5470398558381,,0.37840309740241457,6.749674892098916e-06,5.703624017790865e-06,1.0990859057246169e-05
15,AC,estado,1.2035606597963384,1.9238338710640357,,137.61815038050196,,0.22419779152513447,9.330151807807909e-06,6.7613952761733914e-06,1.1043108618757928e-05
16,AC,estado,1.1117147193639785,1.7349481985480313,,138.52378368481618,,0.27621894497903743,9.835404846354057e-06,9.094032867028578e-06,8.599815701827236e-06
17,AC,estado,0.7787325779013161,1.5806883753215935,,139.94763081899762,,0.5163217430177582,1.0355562250710938e-05,9.4378854040233e-06,1.0427120812063358e-05
18,AC,estado,0.7299824112086748,1.5016745056392955,,140.28427566575309,,0.5792866806191284,6.116191317919613e-06,1.1108456766146148e-05,9.44697943602839e-06
19,AC,estado,1.218828134075507,1.7240476715316349,,137.1664487248869,,0.2181435626669584,1.0442218518129741e-05,8.842072113999442e-06,1.043361068352713e-05
20,AC,estado,0.8016614505843376,1.0949915940734591,,138.6596488849489,,0.4965472644560217,7.651608527944062e-06,9.009127182066232e-06,1.0726804245997961e-05
21,AC,estado,1.1061667152463226,1.4961005212923464,,137.6117286120724,,0.27207208706906716,1.0305479585240824e-05,8.213224006574235e-06,1.055681733336431e-05
22,AC,estado,0.9947975523330227,1.484650381617238,,137.80325363237384,,0.3422180011214943,7.585748204745238e-06,4.684493734999567e-06,1.0967016481379307e-05
23,AC,estado,0.7516684407066938,1.3120932564056669,,140.17198796718228,,0.554945228126139,5.455816271471532e-06,1.059293861724146e-05,1.1021646349896826e-05
24,AC,estado,0.956060099647765,1.2655207527037753,,136.20683482920487,,0.3641983266487573,6.974258754173089e-06,9.209583397904661e-06,1.0587000374336767e-05
25,AC,estado,1.2832973481584806,1.7853519598563796,,138.0907494358436,,0.1974132627537905,4.544257156192e-06,9.683516774754945e-06,1.1039030513200072e-05
26,AC,estado,0.786082160861985,1.6635669380366487,,140.79228989965057,,0.5294519831570321,6.986466167870428e-06,3.492440044098092e-06,1.0725048135797784e-05
27,AC,estado,1.5366429920709668,1.9156200459985055,,135.98521647682585,,0.12720442001647897,1.0515042985374788e-05,9.01306888615303e-06,5.980357985607073e-06
28,AC,estado,1.425265383585217,1.9009382318177304,,137.62567324743995,,0.16255680695594873,5.781085715990474e-06,4.4382695568744264e-06,7.384349282830069e-06
29,AC,estado,1.232392017785582,1.8726151265033293,,139.63371315759167,,0.22153531432198723,6.896405476312128e-06,6.9304928376565015e-06,1.0326197742510016e-05
30,AC,estado,1.242882277119822,1.8808782941108642,,140.2226752636317,,0.2246020324717973,1.0654183858138314e-05,3.212942842216807e-06,8.198267151382437e-06
31,AC,estado,0.9209558561238423,1.5621245270814001,,139.86090116371867,,0.40281982692912643,8.558676204876581e-06,6.075577135018541e-06,9.712160391051741e-06
32,AC,estado,1.168230499146917,1.829533775417076,,139.27028057706315,,0.24689927413346474,2.111236984605941e-06,8.899137014556719e-06,1.1038092773244904e-05
33,AC,estado,0.7985040003505315,1.5791666528871209,,140.2962936789383,,0.5086213146998052,1.0758272962660302e-05,1.047013391692186e-05,7.952152002771982e-06
34,AC,estado,1.4140698012406716,1.9427137966489667,,136.98477251704605,,0.15302556553885135,6.532238895626987e-06,6.738239772106943e-06,9.390948870203975e-06
35,AC,estado,0.6737662408344665,0.9984948744555614,,139.48904028319467,,0.6553892547766461,9.289315354591308e-06,7.853438723169399e-06,1.103718005800168e-05
36,AC,estado,1.1562555781987567,1.9970005413383773,,140.8417389084941,,0.27321078451462877,7.747793255731042e-06,6.731333161173258e-06,6.401908423189058e-06
37,AC,estado,1.3228297947281673,1.659491804356014,,136.07934552469965,,0.18329401816130408,5.695291189940338e-06,1.0242456812251056e-05,9.464208637709104e-06
38,AC,estado,0.9534528634244315,1.299817742068212,,138.41768975425424,,0.37390271291845295,2.191041464858807e-06,1.0050209786823769e-05,1.0985611208620802e-05
39,AC,estado,0.8454415172914149,1.1889875928517974,,139.45911128618513,,0.45342509646981455,1.0671668948232594e-05,9.839457004012002e-06,1.0367058979422289e-05
40,AC,estado,1.4515650474519044,1.8664614859587483,,136.39759488013317,,0.14133561724572188,1.0343798936199e-05,8.164626759033597e-06,8.530924971684561e-06
41,AC,estado,1.343523610027557,1.7953077059637503,,136.80098431706114,,0.1791325930626604,4.93254653881567e-06,5.351988983660922e-06,1.0357750459011334e-05
42,AC,estado,1.2550305259258205,1.922849466480666,,139.4662816972896,,0.22518222451653547,9.776548094452839e-06,1.679967443274087e-07,7.85819033408918e-06
43,AC,estado,0.8634306276362783,1.2722046290538855,,138.3584486949082,,0.43348116219674626,8.851174345383037e-06,9.996133187990727e-06,1.0906725186137073e-05
44,AC,estado,1.1379492909175002,1.736322956008014,,138.62843317689428,,0.2640752415744221,9.458247412188212e-06,4.061353419784129e-06,9.74877141107729e-06
45,AC,estado,0.9888381267854665,1.7024384295625,,139.62701715506495,,0.34335489429071214,4.55392343366886e-06,1.0666968606088956e-05,1.1164270384832767e-05
46,AC,estado,1.6347402371274555,1.9798687059981745,,136.52050218673912,,0.11027229094618152,4.216808524478961e-06,7.683148688772003e-06,6.182682337233271e-06
47,AC,estado,0.896055471835893,1.3627347557430969,,138.44438692590168,,0.40621015287072576,9.231657081431578e-06,1.0129122350606955e-05,1.033122724760854e-05
48,AC,estado,1.035310860355453,1.2277734909664275,,136.35560777317792,,0.31542126560363853,5.797504706495202e-06,1.106895190733873e-05,1.1101424146168936e-05
49,AC,estado,1.1082268287303834,1.7337789048632817,,138.676379431574,,0.2752079618791327,9.997664339964507e-06,4.2118594534384484e-06,1.077018705979915e-05
50,AC,estado,1.3175574598260473,1.9788773132797022,,140.0980383359433,,0.1927410717608603,8.434924933824585e-06,7.844942936403507e-06,8.624647195085414e-06
51,AC,estado,1.3508791131672302,1.7516397139863409,,136.87017832390256,,0.17385019486616266,8.720441813439926e-06,2.0852127654794067e-06,9.975150521963026e-06
52,AC,estado,0.8920777354541446,1.8662673098061338,,140.61828600476795,,0.41610586884374595,9.989483555359349e-06,6.9517317835798835e-06,1.0461671115881357e-05
53,AC,estado,1.0734063567349332,1.7339735335450426,,139.1743058265222,,0.2950701719740246,8.824461336105733e-06,8.163847200744679e-06,9.82456746166949e-06
54,AC,estado,0.8963755085929034,1.521143485948723,,139.22484466959142,,0.40837164289101624,1.0852770880859188e-05,4.8724319877926935e-06,1.1160858249249254e-05
55,AC,estado,1.0941727969650112,1.4556272279834463,,136.81111972357982,,0.2806102123625622,9.875953479151322e-06,4.86293463040689e-06,1.064538726036528e-05
56,AC,estado,1.2408646226631812,1.6848393173946383,,136.93904984518693,,0.21072654704058097,1.0238173184698008e-05,8.476018415437213e-06,1.002975737742759e-05
57,AC,estado,0.9399112577566647,1.385309826988283,,137.5042438581685,,0.376266776060594,9.28748055075159e-06,5.817174265975654e-06,1.091752289416591e-05
58,AC,estado,1.0242096132831686,1.6851747532465542,,138.19918564092927,,0.3167594334167186,9.283065118089949e-06,1.0882810518293702e-05,1.0114984208427536e-05
59,AC,estado,0.9385567927644015,1.236029943597389,,136.64415315866012,,0.37522468878780585,1.10487962148342e-05,7.4836122894531506e-06,1.0602599114243934e-05
60,AC,estado,1.0865559721417948,1.8450794692557855,,140.09469434534157,,0.3025212542834765,3.91212649690539e-06,6.49942302868678e-06,8.770983770919766e-06
61,AC,estado,0.764203865482621,1.5235156826785483,,140.20399298460103,,0.5339122194296373,9.97340442219394e-06,9.729210938404413e-06,9.869437956271687e-06
62,AC,estado,0.8458142484945742,1.1624848520894064,,138.2706369697803,,0.4551408956627499,9.016458838567115e-06,6.877088618100785e-06,1.0863653301297096e-05
63,AC,estado,1.324529239483149,1.1401366878307366,,125.87442666586503,,0.23382392175438313,1.1171162670324393e-05,2.714357539790824e-06,3.3427791678042556e-06
64,AC,estado,1.1652965903141788,1.689010986640294,,137.082779786186,,0.24181868758917674,7.693521600647572e-06,8.837116525499826e-06,1.053822848041508e-05
65,AC,estado,0.8548033095149244,1.6427776062789383,,140.20636254563806,,0.4589654030364398,5.277607831004148e-06,9.476956739030553e-06,9.74524415418701e-06
66,AC,estado,0.7174841775611824,1.4280412421425515,,140.1832727291643,,0.5876963082669964,7.564007447947275e-06,1.0969036671290532e-05,1.1085226044134546e-05
67,AC,estado,0.9354812742407709,1.1026321755344672,,137.00436789741968,,0.3868662902228951,1.0988486385860082e-05,5.358707763368094e-06,1.0459623112034826e-05
68,AC,estado,1.504578900424403,1.1874399734429326,,126.34157958224759,,0.192028279976167,4.641203050914022e-06,6.264406177022984e-06,2.4163732540437823e-06
69,AC,estado,0.7934823514327463,1.0824697110777317,,137.09014760005832,,0.5007187524650831,8.764370037744296e-06,1.085500017024377e-05,1.0585574516369563e-05
70,AC,estado,1.2380711176818857,1.6407794156389872,,139.11402724969506,,0.22005523880661024,4.096981006227714e-06,7.410895985268178e-06,1.1021800307036343e-05
71,AC,estado,1.1914033204086685,1.5849289123086845,,136.57360399403993,,0.2329334741550835,9.173712119980161e-06,8.345297545067704e-06,1.0319154587137923e-05
72,AC,estado,0.7764205111449054,1.4356025828432342,,140.29078306935511,,0.5287682383279906,8.545345007544181e-06,7.681492632031527e-06,1.0515675084296134e-05
73,AC,estado,1.0985773984569511,1.570971736454891,,137.58337041659595,,0.2813060758161559,6.106412507949726e-06,1.0732675843270401e-05,1.0105368573790858e-05
74,AC,estado,1.2251157003047974,1.9160721704246695,,136.6851431282102,,0.21630872391125852,7.469251746530499e-06,5.975720528426821e-06,1.0168458759556324e-05
75,AC,estado,1.2195440572395386,1.7598934253270744,,138.7687563925148,,0.22568498354339145,5.4218802320911424e-06,5.88617319661472e-06,1.0709519716704504e-05
76,AC,estado,1.1186646507320417,1.8945001374451007,,138.79055911560567,,0.2773179456590167,3.809069884329755e-06,8.37829060885543e-06,9.28664806826724e-06
77,AC,estado,1.1999078990301264,1.5471991141386972,,136.61152742166666,,0.23083467666867247,1.0288005404114392e-05,6.665661945150054e-06,1.010678559526299e-05
78,AC,estado,1.4870331892368593,1.9694439025470536,,137.3619612045639,,0.13463465545674788,1.8264990760902326e-06,6.871437245958864e-06,1.002520245057888e-05
79,AC,estado,0.9989949014445126,1.9669238656070087,,140.6489178414897,,0.3467115809575849,6.099443361717871e-06,9.350177572696156e-06,9.892682905662576e-06
80,AC,estado,1.0772232998624862,1.5371971706881502,,139.0515767700846,,0.29386789882799286,6.065476542634157e-06,6.767678290529232e-06,1.1162107372688004e-05
81,AC,estado,0.8704525874055723,1.0997878070249776,,136.50430601914252,,0.441108475337805,6.576678671234921e-06,6.240411770541436e-06,1.1047426592517978e-05
82,AC,estado,1.1320690399817135,0.8389392412343182,,125.04644289638195,,0.3864832349441447,5.617054830346948e-06,2.7800268097866363e-06,1.0085723021465635e-06
83,AC,estado,1.179443616435665,1.9922706505088026,,139.70442721105493,,0.24929858891152654,1.679757207959695e-06,7.808493819546341e-06,1.0384308120589226e-05
84,AC,estado,0.9021626152647589,1.2022222729444783,,136.64366254782794,,0.40323266324356366,1.0282449060716396e-05,8.5193976061715e-06,1.0322817428016357e-05
85,AC,estado,1.5400331037167774,1.1633493922637632,,124.9033994066364,,0.2085321452252143,1.4043676765450544e-06,9.324837057141754e-06,8.927839111947828e-07
86,AC,estado,1.150886037135859,1.3031467836071866,,137.73256982576902,,0.2681605304927597,7.834035884985274e-06,4.368846488117642e-06,9.158876433156416e-06
87,AC,estado,0.7142631670940527,1.6403711585850558,,140.6390858410282,,0.5942376814836489,9.294600771573304e-06,1.0853087285328099e-05,1.0241403013045969e-05
88,AC,estado,1.0027463291068965,1.5143363534199876,,140.1104534858186,,0.33640439177175596,9.128971683159803e-06,1.0932399951921548e-05,9.745292448929313e-06
89,AC,estado,0.9767228250377261,1.230879822486077,,134.05172651490645,,0.3385899928803833,1.0889381287421453e-05,1.0611347503382026e-05,1.0676324325477687e-05
90,AC,estado,1.3159957142355372,1.9415204498248058,,137.14100272758301,,0.17801917796374506,9.642859181369925e-06,7.012308846215632e-06,1.0719401385115565e-05
91,AC,estado,1.1281548365588314,0.9399664817337988,,126.12039179083517,,0.3344280604278067,5.608407996160299e-06,5.367733212946796e-06,3.808129509004418e-06
92,AC,estado,0.9028284483862897,1.9979604109869016,,140.753658184344,,0.42056475584040626,7.5423046402771615e-06,8.167667599250346e-06,8.357461407609184e-06
93,AC,estado,1.0339246490351015,1.504194998983926,,138.39705654010413,,0.3147927498702999,9.265524090586749e-06,5.787698516482993e-06,1.1100953818534735e-05
94,AC,estado,1.2451918328198384,1.6550449464356811,,138.3823864548694,,0.2204122710940389,1.0675179372188659e-05,2.7207986452283113e-06,8.602164347517339e-06
95,AC,estado,0.9671659555633613,1.3406380776277749,,137.14085241359143,,0.35494092079773254,8.842119227622291e-06,9.876231693665776e-06,9.900654812213783e-06
96,AC,estado,1.1033179748328732,1.458122924275588,,137.09631925363186,,0.2744168141116107,1.0195120098573522e-05,8.639005767356105e-06,1.0732214171106966e-05
97,AC,estado,0.7762654172768635,1.0824158788822176,,137.13225607066778,,0.5212047862076943,6.9901731560892045e-06,1.0763692442243391e-05,1.0737932590392607e-05
98,AC,estado,1.6068650696917908,1.3274707728596922,,122.98077939102829,,0.1574821078704431,7.2868829540819465e-06,9.05221209722477e-06,2.038597392943498e-06
99,AC,estado,1.0304526092560402,1.9803702637775287,,140.53863682918276,,0.33331991055635823,4.020289200588678e-06,7.542657747604663e-06,9.095962850506589e-06
100,AC,capital,1.257881358283809,0.8331894214108778,,127.08748765819135,,0.2578616228638916,1.2660893561313108e-06,6.68392649849469e-06,1.2235439849322926e-05
101,AC,capital,1.4023368755526628,0.9671516953727456,,121.45567784003283,,0.2371673253095979,1.7238482922160892e-05,1.1013026908000882e-05,1.9021770530581817e-06
102,AC,capital,1.4023524338996796,0.8825427764454651,,126.28421564133869,,0.22291232940751327,1.4640240352846218e-05,2.1008778600854528e-05,2.3036789072845924e-06
103,AC,capital,1.3013390429961438,0.8988272866888299,,121.43495636234593,,0.28385761073910404,8.272959274198127e-06,1.0247389863487778e-05,3.4341946889943107e-06
104,AC,capital,1.4468313413198939,0.9889293847153938,,126.41845152973733,,0.2054294060542716,1.4853612414106652e-05,1.6413450790533354e-05,2.095274757343541e-06
105,AC,capital,1.0442746641335672,0.732340380642295,,126.39867799531154,,0.37628392075804556,1.5400902212812277e-05,1.3330795627101472e-05,5.493749793693911e-06
106,AC,capital,1.462095220523054,0.9442174009122024,,126.58987468152085,,0.20352243618091634,9.453311357037738e-06,1.529021356037396e-05,3.7443739712034546e-06
107,AC,capital,1.4315700741301858,0.9572510939598993,,124.83414525021516,,0.22287699712656983,1.3904025578604206e-05,1.0661645411908524e-05,2.5925965562362195e-06
108,AC,capital,1.7484155406807662,1.0215417066793362,,127.98967277669519,,0.1377121161251557,1.2360426446128754e-05,1.0142818244180518e-05,1.5923314787658677e-06
109,AC,capital,1.2390900143179844,0.7858215227715927,,124.67756534352601,,0.3112598928380329,1.1208169320186478e-06,1.2447437661721024e-05,4.612770183377414e-06
110,AC,capital,1.4459875728231226,0.9341429489955472,,125.96181284709874,,0.22502337660068233,8.389065565911633e-06,2.003901086051709e-05,9.388460315960444e-07
111,AC,capital,1.2979426264468017,0.8066450242645598,,124.4366447932018,,0.2926465631743596,7.783968396509587e-06,1.604564061283124e-05,1.0402394859276707e-06
112,AC,capital,1.2941812884812631,0.9697570716017415,,125.77149972404335,,0.23169775300309428,2.765216966120052e-06,8.022300484343854e-06,1.3446482164194989e-05
113,AC,capital,1.4961152432733051,1.0330508484771825,,125.0066433080826,,0.1988632759552773,1.7611298640777937e-05,8.70439572754327e-06,1.8489847909754869e-06
114,AC,capital,1.5922668307909216,1.0697016160345043,,126.29701158353194,,0.15560176919513233,2.1727189560043573e-05,1.2747082506769542e-05,2.7820839328423562e-06
115,AC,capital,1.2770090840979418,0.945992862324291,,125.480564204552,,0.25401249651398433,2.2427865293039353e-05,6.503788991284087e-06,5.355157780036623e-06
116,AC,capital,1.4961277795238535,0.9791487957596452,,126.5857529084637,,0.1782005891100762,1.6087066396863963e-05,7.105747698829033e-06,6.129376604405827e-06
117,AC,capital,1.0154189471047874,0.6558591664281644,,125.3103945120417,,0.42435105929749106,5.221381131716062e-06,7.24586282089492e-06,7.383774666090778e-06
118,AC,capital,1.1989619235479991,0.8550055894091114,,126.7422664492763,,0.2877257741029754,2.423221159368604e-05,1.6710932847596926e-05,1.7013246448900581e-06
119,AC,capital,1.1560899481124116,0.7882150299797858,,125.05874596136603,,0.3233678788586995,2.0777177746421942e-05,1.0425199546648566e-05,3.0532994805879335e-06
120,AC,capital,1.3566932574151547,0.9176522926302383,,126.38091891426566,,0.22162015141587524,1.1702339305826334e-05,8.348881277818764e-06,8.26266874020114e-06
121,AC,capital,1.3973359950835986,0.9741817106691432,,123.33693542129986,,0.2372321551083451,1.7026178441307885e-05,6.953157142684516e-06,2.3832580113017436e-06
122,AC,capital,1.0679070128981643,0.7810342912529216,,129.39336839428708,,0.34403204881915705,2.2535414108494617e-05,1.1635491613387275e-05,4.78316149866184e-06
123,AC,capital,0.7738165270050124,0.5278542589873882,,126.15825338313321,,0.6311379831828072,1.4807217713917697e-05,1.513055550184339e-05,2.1825594862744195e-07
124,AC,capital,1.3369923008765212,0.9433573240516716,,126.4943055843929,,0.22035714209661872,1.241493090848355e-05,7.214149358572214e-06,9.713194055984562e-06
125,AC,capital,1.3654092957529627,0.9254294397613333,,128.3424480461838,,0.2218247453653488,2.1838191455457817e-05,1.0359787162748988e-05,2.662125095712805e-06
126,AC,capital,1.5243445199363543,1.0438169497907102,,121.56335260921591,,0.19647277557560697,1.285659877080842e-05,1.5457172898205005e-05,2.1579174398167096e-06
127,AC,capital,1.6395996845484704,1.033073859405047,,125.33233338241835,,0.1569151753452301,1.5335361808154767e-05,1.3782706402784528e-05,2.4715442476445786e-06
128,AC,capital,1.3871537727997791,0.8962246999312324,,124.51081305803592,,0.2533832192188584,2.933470768350552e-06,1.717688439164858e-05,2.0685863538676704e-06
