,state,type,beta0,beta1,beta2,tcut0,tcut1,delta,e0,ia0,is0
0,AL,estado,1.5295074300434455,0.9876680058556067,,121.8635394995278,,0.23432860256400065,3.1562493869771685e-07,1.2592351724729e-07,2.7493909397397623e-07
1,AL,estado,1.3826800813466853,0.9192877707931152,,117.56297996206807,,0.30429185254207947,1.022817238995839e-06,7.064289703348541e-08,1.0185368104488919e-07
2,AL,estado,1.3979961181176477,0.9251599743615588,,119.84893128893556,,0.28298029981360767,9.372969971569952e-07,2.5182176428322032e-08,1.9416874507760087e-07
3,AL,estado,1.6833323276990906,1.210272397671426,,115.27826487303761,,0.16090383059477087,1.4154083643318382e-06,1.0283053590803292e-06,3.2180281866178244e-07
4,AL,estado,1.1182060839010586,0.8087572539754853,,113.68937225373088,,0.3966835525676258,1.0051359544108935e-06,1.4879465562612685e-06,1.4515623446032403e-07
5,AL,estado,1.4790700051004748,0.9565134981594035,,119.25454249061121,,0.25759465652639707,9.481215513318135e-07,3.325942324814145e-07,9.813746537456921e-08
6,AL,estado,0.9877560006828476,0.7069735159215351,,115.88409194331076,,0.4922985173087718,1.0358979112849735e-06,5.143615869027915e-07,2.980941021117234e-07
7,AL,estado,1.3850089400082224,0.9394346376925345,,120.1373797421846,,0.2905727708995384,5.812456746356955e-07,9.036864371167866e-07,3.627899458323704e-08
8,AL,estado,1.6212850300063422,1.1884208925253321,,120.22597974916403,,0.17600035449476498,6.821780127414529e-07,8.816026035676067e-07,3.5551633450007686e-07
9,AL,estado,1.5072398746747295,1.153523066480583,,121.30326686785479,,0.1733142473315424,6.485543068891922e-07,2.297499675633767e-06,9.493709852079471e-07
10,AL,estado,1.759789170304542,1.2794564712799232,,114.58788010007804,,0.1504281072597921,8.886888168379686e-07,1.628993285303303e-06,2.1941199239276436e-07
11,AL,estado,1.2630062295987103,0.743882938343024,,120.4250635932466,,0.3983162533185122,1.5498862668395013e-07,1.948753352733612e-08,1.924518798832456e-07
12,AL,estado,0.7469532594040311,0.5524170908828674,,119.34430820862221,,0.6873446065657102,1.1742501870486063e-06,7.150025567401633e-07,6.699432366500109e-07
13,AL,estado,1.4481718910567627,1.0704529138885113,,116.61505600015771,,0.22766994647110142,9.585363843515541e-07,2.3475411473788497e-06,1.1570063153697259e-07
14,AL,estado,1.9362887901732195,1.2745097334832287,,118.87742005196833,,0.13161217595613514,4.759020132501978e-07,5.1440024596128206e-08,1.9160089911788578e-07
15,AL,estado,0.9508565270474912,0.6465288287314803,,121.07189017128708,,0.5212298330611952,6.927346725372283e-07,4.3833234194259055e-07,3.239444511423477e-07
16,AL,estado,1.3776171485859023,0.9117482329411679,,119.55339995021576,,0.29234062490610174,4.455329766347824e-07,9.106590517754242e-07,1.0057766022361903e-07
17,AL,estado,1.3117895017464742,0.912419043231931,,116.36390263544153,,0.3177868255179547,1.0333665762564973e-06,7.331151997517915e-07,4.795382015566784e-08
18,AL,estado,1.1077219568792034,0.8093607050609957,,119.4272213095403,,0.3835858649209469,4.904101487406113e-07,9.449630082249541e-07,5.003742039462333e-07
19,AL,estado,1.3622252948341993,0.9442276107116415,,119.01300739240769,,0.29704713750958767,8.887037881421076e-07,1.356154150242333e-07,1.6513822827319223e-07
20,AL,estado,1.5791089340594702,1.1504443990383786,,123.81027717912598,,0.17728585282242199,1.4189811243879388e-06,1.2256850857479366e-06,1.960607367590711e-07
21,AL,estado,1.1976262228066443,0.7953133999384181,,115.93037406232267,,0.4078474695965073,6.454151435772726e-07,2.95062234229224e-08,1.8443243341589201e-07
22,AL,estado,0.8123687028063961,0.5896555486744182,,120.16017476691906,,0.6098220408267446,6.682679654030578e-07,1.4721859155567292e-07,1.148440760195573e-06
23,AL,estado,1.1685999428466074,0.7702714236362537,,119.27357886986319,,0.3999883189684125,3.23807352954093e-07,5.389476304265789e-07,2.0132192356283713e-07
24,AL,estado,1.6369124196307951,1.1683558064232094,,119.17760566119244,,0.18255829746646246,8.314718291527677e-07,1.9835909454816026e-06,4.8723503976187555e-08
25,AL,estado,1.6219015477348857,1.0991454672642111,,121.1839320194495,,0.18953065282058779,4.957043276740221e-07,1.2717123608603424e-06,1.788977259629602e-07
26,AL,estado,1.4021649194023074,0.9997103623831687,,118.67055335545919,,0.26227594172321417,1.1177087950087335e-06,8.214557790991771e-07,1.2433604700915721e-07
27,AL,estado,1.2039824188185269,0.8190342223668365,,119.58286379344328,,0.37497680418437074,1.2489519677220214e-06,1.9857266084595555e-07,2.7542387238041534e-08
28,AL,estado,1.670145756041826,1.191000761890861,,119.35235426145073,,0.17584866628817425,7.426636753491615e-07,1.7029107772806498e-06,4.4610963189135284e-08
29,AL,estado,1.3621810608350253,0.9178720017080565,,117.74498585244942,,0.29429723373410394,1.176417414338655e-06,2.1892417552859542e-07,1.571810250509545e-07
