,state,type,beta0,beta1,beta2,tcut0,tcut1,delta,e0,ia0,is0
0,ES,estado,1.5660126560060497,0.8248664327622307,,105.05675943651643,,0.3345639847808572,1.3397803919885315e-06,1.148005686744835e-06,2.1983361142635815e-06
1,ES,estado,1.3090583969026643,0.7215826219266657,,105.09975579950881,,0.42878293082025115,2.1032871753341414e-06,2.122658651435537e-06,2.3296201032121266e-06
2,ES,estado,1.4610642683283732,0.778822673347303,,101.64793316420511,,0.3944286105140417,1.1540660994916946e-06,2.2259237456205272e-06,2.4049296298435096e-06
3,ES,estado,1.7096313037421251,0.9343124833269303,,105.6204816881071,,0.2682286185624601,1.1735651600549702e-06,1.6650658827944342e-06,2.051738776642053e-06
4,ES,estado,1.437680817384117,0.6928578996573131,,100.22709895656071,,0.4701240876344719,2.214621804766798e-06,2.1371355521337046e-06,1.426871412272764e-06
5,ES,estado,1.6113455365563811,0.900266516267971,,105.53637724043703,,0.28677337611280124,2.1878803877630957e-06,1.7022818853450872e-06,2.417866782879871e-06
6,ES,estado,1.4915832470252282,0.7971402043096709,,104.9364035239102,,0.35771853557957606,2.4324703179204692e-06,1.3153082211699904e-06,2.070314894830135e-06
7,ES,estado,1.4786666432337492,0.7964006494511237,,105.17946780938045,,0.3551124247930756,1.564282668442959e-06,1.5547200674463992e-06,2.4517004063668527e-06
8,ES,estado,1.7487089554770403,0.9672727449689466,,103.0434694950487,,0.26127761389965043,1.2252784365488778e-06,1.8807800697588978e-06,2.3923083048592993e-06
9,ES,estado,1.5386977482786193,0.8663745672229981,,106.35269186457013,,0.3070282863716834,1.7466576178052616e-06,2.065737438282262e-06,2.456101333362958e-06
10,ES,estado,1.6140796351419162,0.8131765107671427,,103.23286373821055,,0.34855039123425446,2.3499478574304613e-06,2.0450490348706513e-06,1.397319876833204e-06
11,ES,estado,1.4341034546536042,0.7708873665915791,,103.34355494826866,,0.3854982127394347,2.079627386139939e-06,2.379803912406862e-06,2.335945960503752e-06
12,ES,estado,1.3838100665975062,0.7064709921091181,,103.45752307510551,,0.4367317245544779,1.3918796320830666e-06,1.2716022495680284e-06,2.3757553794850147e-06
13,ES,estado,1.4954693218556594,0.8149922600116691,,105.12525401267793,,0.349055429454128,2.458375032790994e-06,1.341263271942991e-06,2.1860844069693717e-06
14,ES,estado,1.8134105536787017,0.8842492027207901,,100.17008990269424,,0.3048850021330536,1.0329657598197903e-06,2.0094210469575272e-06,1.9221223107113705e-06
15,ES,estado,1.6778687334968752,0.8708477080592574,,105.09680570712378,,0.30078697324009385,1.7463550798334393e-06,1.2518070103315633e-06,1.8051639004230216e-06
16,ES,estado,1.6973072046829754,0.9619781951908032,,104.56072848273547,,0.2584721951425529,1.969348138459049e-06,2.0761299847185718e-06,2.363603594961157e-06
