,state,type,beta0,beta1,beta2,tcut0,tcut1,delta,e0,ia0,is0
0,GO,estado,1.197097520089705,0.9374811761563286,,95.28601474219873,,0.27373366948141103,9.914520977209884e-07,1.2892794508710509e-06,1.1055049419102122e-06
1,GO,estado,1.2844852818374477,0.9644355242542767,,97.50269369520962,,0.252416572460632,5.577206153689153e-08,2.735700258318317e-07,1.3890547434897591e-06
2,GO,estado,1.7603871333038352,1.0689365876160262,,83.7559067263798,,0.19717661345635235,7.486617469173291e-07,7.714394850246384e-07,1.2214562927290098e-06
3,GO,estado,1.5412447679727452,1.100277629908916,,87.03735038241011,,0.1940487368259255,4.962913282539051e-07,1.2416394619677949e-06,1.2716954272486866e-06
4,GO,estado,1.2107664293883917,0.7555316754774734,,85.89124173708797,,0.402530223224162,1.09541321754512e-06,7.931626993944738e-07,1.1444314719115736e-06
5,GO,estado,1.8040999528710706,1.2461595736432678,,86.38281934760194,,0.13214157678261568,3.7298978502409864e-07,1.058295265098194e-06,1.2579487596328293e-06
6,GO,estado,1.1727760434642738,0.7861602880607051,,86.3940305501307,,0.37541584565087943,7.238656038935386e-07,1.0955091048663365e-06,1.3933983179237284e-06
7,GO,estado,1.2115156223049381,0.9844435982142987,,99.46693518899407,,0.24471842158206747,9.125045150582422e-07,1.2635131996355078e-06,1.2717031391625536e-06
8,GO,estado,1.8989069847561675,0.8868615481651546,,84.86635768104456,,0.30575110690934987,1.5112849442141651e-07,3.2720290467882826e-07,5.092440917787496e-07
9,GO,estado,1.6664899028730589,0.9215730077107526,,84.995816964281,,0.28175935301496124,8.513458847433857e-07,6.142143239809574e-07,6.865707599048172e-07
10,GO,estado,1.0233109876993554,0.7431760015376572,,94.5226341898332,,0.4058681332141765,3.6357644409554023e-07,1.1873790234870358e-06,1.295103489054245e-06
11,GO,estado,0.8224944710573522,0.6253468420013556,,98.96128289616715,,0.5402934063560791,5.084472847208393e-07,1.2255405851455085e-06,1.3882977965543597e-06
12,GO,estado,1.9867016410882734,1.0791749675118076,,82.27780417251898,,0.2006577698012981,4.3266508999452615e-07,9.255342877502296e-07,8.862374297148507e-07
13,GO,estado,1.1078414053916874,0.8115043972885305,,94.9388469078601,,0.3456807347877286,8.787528340669249e-07,8.199567023830862e-07,1.3589229704257638e-06
14,GO,estado,1.5993968846050641,1.3343576442964216,,99.14697488550107,,0.10485143499759352,1.029269444012167e-06,1.125888847177889e-06,1.3328747405096712e-06
15,GO,estado,1.2488741205688807,0.9519919851579893,,98.02787068763395,,0.2575919732514929,8.603874557984863e-07,1.378683189055994e-06,1.02282565232822e-06
16,GO,estado,1.5322911381308992,0.9815054360466747,,85.19284570534904,,0.25217512063099545,3.186360647884337e-07,5.973574318890729e-07,1.1522336749041642e-06
17,GO,estado,1.7155203890353663,0.8742406973828745,,86.7933075706263,,0.3021714237502851,4.6430371223447795e-07,1.2608095433340516e-06,3.741051962504629e-07
18,GO,estado,1.4818138130727805,1.0981181787719065,,96.31901642781587,,0.18414267399243464,2.8013774609373446e-07,7.663736816049166e-08,1.300747619943482e-06
19,GO,estado,1.0202785179202016,0.7450013976226546,,94.97253183869242,,0.4047669876676154,2.3655472419212716e-07,1.2423505979751998e-06,1.3252186760859463e-06
20,GO,estado,1.25714583326232,0.907766999204541,,95.43536810353618,,0.28480457906609813,6.674660626133106e-08,5.224226290034854e-07,1.291643017753598e-06
21,GO,estado,1.275126350893183,0.8936890356210886,,96.84601566141367,,0.27813875655858644,1.589721783957722e-07,6.385372571037053e-07,1.316267510134746e-06
22,GO,estado,0.8993870946876457,0.686545555363467,,98.57874483413109,,0.46550771068233326,5.065326950368615e-07,1.2003072341377813e-06,1.384644163574251e-06
23,GO,estado,1.2998457635177487,1.0240563317037226,,100.23340872110919,,0.2137719877745422,8.049462017191072e-07,6.324502382089665e-07,1.3494721951237718e-06
24,GO,estado,1.7381493574341722,1.0510428038141444,,79.82717186665052,,0.22482073976708405,5.29267434025937e-07,1.3561800399246704e-06,1.1932641311560877e-06
25,GO,estado,1.5986107464321684,1.0586739154964158,,92.14986323561631,,0.21095136484644433,1.2997627364731426e-08,7.276067494625223e-07,7.576846659411491e-07
26,GO,estado,1.307472151685427,0.9385946311159657,,98.87790160970212,,0.2563813676945887,1.5695574811892462e-08,1.0539435887754304e-06,1.0644787876361693e-06
27,GO,estado,1.0959500524437404,0.8855140891898087,,100.03730625020663,,0.30132570038102174,7.382286706268442e-07,1.2576691160527645e-06,1.394933842591759e-06
28,GO,estado,1.5791880149316564,1.0894134484953617,,95.43624059331727,,0.18449922746616,2.37483172126449e-07,5.016284791443257e-07,9.848201266158406e-07
29,GO,estado,1.3730406809301403,1.0993517999311893,,99.62166031702587,,0.18571772957712931,6.203858303129817e-07,6.374523574305275e-07,1.4025854537488855e-06
30,GO,estado,1.7398595638651846,1.1320348894262646,,85.71765725188567,,0.17411138776288337,3.735217937587637e-07,9.923656376173583e-07,1.209863377424685e-06
31,GO,estado,1.0645367607369387,0.5668728474654207,,85.46135597985912,,0.6246414359678787,1.7119620984957983e-07,4.785717625481786e-07,1.2257260342066834e-06
32,GO,estado,1.497164256899298,1.1532199515187846,,96.57603058100499,,0.16276029139552406,2.9604594629950833e-08,1.0643123557240748e-06,1.375338210957595e-06
33,GO,estado,1.2542195788775155,0.9112112350667187,,94.87955480044853,,0.2788885157680041,1.2058716208775225e-06,1.1774356097283874e-06,9.256164126898489e-07
34,GO,estado,1.7742289739287016,0.8747124426421082,,83.98157223521234,,0.3132416657666476,2.923557957443222e-07,1.0929461749166761e-07,7.536639550321489e-07
35,GO,estado,1.5435613593542743,1.2766913354306313,,97.63551360662836,,0.12520708381776235,1.009728582445333e-06,2.7000765216666694e-07,1.3207600962074598e-06
36,GO,estado,0.9539564917630245,0.7132071853098468,,95.35201728591731,,0.4440092707803581,1.0769180019427834e-06,1.1744057216665125e-06,1.1136591948220845e-06
37,GO,estado,1.897326926123106,0.8634441846548285,,82.77363989530542,,0.32216405860918124,1.205878580883446e-07,4.0140684489058847e-07,6.977430384086999e-07
38,GO,estado,1.6187110057798562,0.9832684695596315,,84.95672100333591,,0.25720250166262487,1.1475511599616122e-08,8.597266887989403e-07,9.106797451973341e-07
