,state,type,beta0,beta1,beta2,tcut0,tcut1,delta,e0,ia0,is0
0,MG,estado,1.8318440675642034,0.691257980026888,,82.76688888897957,,0.4326057164638741,2.5126601709223083e-07,4.138897160770695e-07,8.225589528772287e-08
1,MG,estado,1.6777371004537625,0.6632383233579401,,83.17400825422985,,0.4618628408007576,2.5785816665609983e-07,2.25104686538313e-07,2.021575370767151e-07
2,MG,estado,1.862549086287741,0.7859853363878229,,80.62062641674514,,0.35367626736392527,9.373547279515152e-08,2.2935009987957877e-07,4.3974971310030783e-07
3,MG,estado,1.254421874466803,0.6071171627992159,,86.38903963142553,,0.5384030193195697,2.332771542862333e-07,2.8129003125447443e-07,2.9107532047497494e-07
4,MG,estado,1.9840357819985368,0.7710593295205654,,82.11206438523566,,0.36492098692392455,3.193525843411077e-07,1.6919214789147634e-07,1.9195340248751564e-07
5,MG,estado,1.2744157143109602,0.6145109223814277,,86.87713854590625,,0.5162600964430882,2.998458478635095e-07,2.9760770952611983e-07,3.046837981840679e-07
6,MG,estado,1.8411512734419837,0.6538251111641639,,79.89976538794237,,0.5050244178314447,1.8256806903349405e-07,5.532327971884896e-08,2.3701633193688874e-07
7,MG,estado,1.8082639309561706,0.5542182518618438,,79.23336031904756,,0.6112218077328949,1.634644597682008e-08,7.980305791966881e-08,3.3413621061176866e-07
8,MG,estado,1.5489513592639657,0.5119729710482045,,81.413083503416,,0.6882156651017912,2.647456012999771e-07,2.437009090886989e-07,6.391726566180966e-08
9,MG,estado,1.6010138316015086,0.814587600520688,,86.49576963042321,,0.3293515790834958,2.3589298629475993e-07,4.3530255427964416e-07,2.8233982533271457e-07
10,MG,estado,1.6128195241053414,0.56505142267262,,82.23489291281062,,0.5954388015114418,1.840105485135821e-07,2.4779088329131035e-07,1.0876078359563906e-07
11,MG,estado,1.9928329005234635,1.0930731853546145,,87.4087040718667,,0.17139412110303032,8.562558192462542e-08,4.0130259029551725e-07,3.8809276509586004e-07
12,MG,estado,1.5643644146938795,0.6109828052536661,,82.76431293731171,,0.5320050459869178,2.772640137635172e-07,2.5810372969476505e-07,1.6624603563428465e-07
13,MG,estado,1.961074921093653,0.7505647881036037,,82.42810404107192,,0.37564885563586603,7.094793685038954e-08,1.0583624405510286e-07,2.8211901387270726e-07
14,MG,estado,1.8811258929770467,0.9326634510534527,,85.9591714372643,,0.25007099195800064,2.52529610324924e-07,1.7033698775239333e-07,3.318342049368715e-07
15,MG,estado,1.8124661579657504,0.745626365471797,,82.51689810152892,,0.3811968805143858,2.873618671778827e-07,2.4603101108824458e-08,3.420986609341801e-07
16,MG,estado,1.6551828373954984,0.662374089537582,,82.35752921886262,,0.47119588695714554,1.1258094238913708e-07,3.451379654707933e-07,2.1262822593024238e-07
17,MG,estado,1.83272900151114,0.6115131151656551,,80.5533298503579,,0.5364980565981508,3.343940772246394e-07,1.8669464700497585e-07,1.0894804982926747e-07
18,MG,estado,1.9001305133067263,0.6870280663109899,,80.57762050784875,,0.44070915940173444,2.0084866879895415e-07,2.4071454616284157e-07,2.3402110855081022e-07
19,MG,estado,1.8123431562370724,0.683156265016201,,82.5541894635921,,0.44949542024032174,2.66215192357377e-07,8.10553575369311e-08,1.8485378597122207e-07
20,MG,estado,1.7496628885514425,0.6677091893232834,,82.16734036504833,,0.458218338277779,1.8604007927729544e-07,8.273369692495474e-08,2.883397324547285e-07
21,MG,estado,1.743785847365739,0.6898419577496138,,82.68908857550662,,0.44053958361524004,2.330317763016195e-07,8.301016502884714e-08,2.549079084853067e-07
22,MG,estado,1.4007342155269995,0.6347606771667436,,84.51517821152142,,0.4950809843515439,1.1869254843032547e-07,3.0636900419151086e-07,3.534309686175163e-07
23,MG,estado,1.5880627822470024,0.573392804194882,,83.06507248874753,,0.5802851944295693,3.771768927519333e-08,4.290729033957807e-08,2.5017347608317343e-07
24,MG,estado,1.7888733894169684,0.5948235537573711,,79.71956395765463,,0.5493302895912109,3.9516858278872797e-08,6.27284249409238e-08,3.7166053348915354e-07
25,MG,estado,1.764399561865553,0.6156136625935802,,81.02707958009046,,0.5275500477781337,2.9088855869595656e-07,1.864876551919977e-07,1.5759903709395706e-07
26,MG,estado,1.8647472917413255,0.7045157490127455,,80.16388096116913,,0.427006602963835,2.6511028731325894e-07,2.555801521009354e-07,2.889385378713834e-07
27,MG,estado,1.9733719903899052,0.628308845844443,,78.30250311040696,,0.5283632135580688,2.630651025693055e-07,4.2839650405205083e-07,7.672799039867295e-08
28,MG,estado,1.9072865332542568,0.573291503071923,,78.59956465448242,,0.586355249500431,1.3681896611632755e-07,3.087183463506255e-07,1.736289015011927e-07
29,MG,estado,1.5069832759396236,0.5924109283163257,,83.29329140357625,,0.5629975481356712,2.2366419257858808e-07,3.6801307250484736e-07,7.547129592242167e-08
30,MG,estado,1.9371519365810475,0.7012057514182346,,82.6401270898599,,0.42788408897231606,1.920684437629851e-07,2.317182798976239e-07,1.0487312585392e-07
31,MG,estado,1.4123312546236435,0.5833869416928062,,82.61688021227138,,0.5698182071844519,2.2533131045687478e-07,2.5268743927022325e-07,3.0275763346197657e-07
32,MG,estado,1.6603354010648839,0.6572006414470203,,83.23732447038594,,0.4755059740752981,3.140903327389627e-07,3.178030606735424e-08,2.341977569559547e-07
33,MG,estado,1.7612304436166297,0.6366366860183146,,81.46234801933498,,0.5100721697242113,5.825207705350498e-08,2.3761313541964822e-07,1.7060188227387948e-07
