,state,type,beta0,beta1,beta2,tcut0,tcut1,delta,e0,ia0,is0
0,MS,estado,1.3112228213693975,1.764857607958833,,122.62409321517457,,0.07965997488152289,3.2857524797644913e-06,1.0802133012768196e-06,3.4884639604524984e-06
1,MS,estado,1.237490299778174,1.5532978715770365,,126.65099240844255,,0.11484108679967131,2.327995189607573e-06,1.8225962943457072e-06,3.510400374980369e-06
2,MS,estado,1.1782973339557887,1.6754935884574897,,125.3980030012885,,0.12058539057774849,3.245148337807603e-06,3.496168522866798e-06,3.3165661274215422e-06
3,MS,estado,1.3640076574366091,1.829299391215058,,125.95194874547575,,0.06927218477174721,3.2574849442974654e-06,1.691408525281633e-06,3.4801204472974755e-06
4,MS,estado,1.020781656468116,1.3597896313632662,,124.42785543321398,,0.19575552626094767,3.547390654384425e-06,9.945315442264463e-08,3.505064129663037e-06
5,MS,estado,1.331922099037409,1.670734293469889,,125.7398680135534,,0.08509391114351171,2.8292724241791382e-06,3.4121461076659377e-06,3.2498570945259223e-06
6,MS,estado,1.4298675192036387,1.8244362822755102,,123.585677748757,,0.057136079419437324,2.240155750383739e-06,2.5489445618438418e-06,3.3232400960177165e-06
7,MS,estado,1.0803936541695207,1.397800120952291,,125.55945113235855,,0.1759909344953614,3.513978433871323e-06,1.3496842926029682e-06,3.33959567904085e-06
8,MS,estado,0.9391075569885069,1.378544758756563,,133.97657590370167,,0.25031134188257675,3.4244979259421556e-06,1.8333631456209765e-06,3.501388229911953e-06
9,MS,estado,1.2623204061499425,1.6733966239248355,,125.52642156606719,,0.10478914513324328,3.2085444063287845e-06,6.150185076057916e-08,3.4763766121169805e-06
10,MS,estado,1.1467136544806589,1.5987596322078683,,131.30019704769788,,0.15021129134925432,3.124834502215126e-06,2.309918352568592e-06,3.0474701230407967e-06
11,MS,estado,1.3643486170636745,1.5681020944201405,,126.50471100013985,,0.08156564224380958,3.4173738636362474e-06,2.3041295499558157e-06,3.2157016850860057e-06
12,MS,estado,0.9664328722459413,1.320875779334111,,128.90627110347654,,0.22515334936058606,3.4824236382079604e-06,3.4232748187862543e-06,3.4111494543262672e-06
13,MS,estado,0.9735063286976013,1.6011977882214936,,133.43130228526115,,0.2245900721308933,2.760955317557985e-06,3.4251983041568985e-06,3.5534137724616263e-06
14,MS,estado,1.2649752730371704,1.5539653393403867,,132.84190767927174,,0.12977765690913245,8.562989416794683e-07,1.8305744899016124e-06,2.5850282352209763e-06
15,MS,estado,1.6521210065456922,1.9133824749960024,,124.22988228496217,,0.012722146483305385,1.75759963355981e-06,2.415052405087283e-06,3.07733061256698e-06
16,MS,estado,1.3423783805326202,1.6860282305151817,,127.39783128799786,,0.08286454442620222,1.9939378514689385e-06,2.7344352470841537e-06,3.3240984013443956e-06
17,MS,estado,1.1497634144762645,1.581244925453714,,124.70213715915959,,0.135012878444362,2.97464569146133e-06,3.255000843032886e-06,3.4360853355636173e-06
18,MS,estado,1.3937649971641868,1.5728411563452294,,122.97134192578699,,0.07242510636680893,1.959836896087014e-06,3.357007673880455e-06,3.2466201142950676e-06
19,MS,estado,1.1379743267659839,1.5219491067724389,,125.37899393285323,,0.14099057918086672,3.4450993357961763e-06,3.186820411102144e-06,3.3036555272485503e-06
20,MS,estado,0.9608278609089288,1.2202125238997308,,125.32640168052791,,0.23052035246211897,3.2908597041661333e-06,3.157127860349611e-06,3.4123186860636373e-06
21,MS,estado,1.3092009350138583,1.8298859585435638,,129.8379929887637,,0.08978700948086903,2.8067025441819245e-06,2.3946103639619473e-06,3.559027961774459e-06
22,MS,estado,1.1569612231492585,1.4756719230299438,,124.33244083083846,,0.13392675681574479,3.0898624510032603e-06,1.1337684825235924e-06,3.5378547369668514e-06
