,state,type,beta0,beta1,beta2,tcut0,tcut1,delta,e0,ia0,is0
0,PI,estado,1.3637716563764002,0.9618979994959361,,120.84387483917769,,0.27276212582935744,1.6337210761603223e-06,1.1157898033557769e-06,7.412488394345275e-07
1,PI,estado,1.2260466464086717,0.9072227609728174,,123.926630717529,,0.2932998287912356,1.1942548538284064e-06,1.5603804161968426e-06,1.5744699782348222e-06
2,PI,estado,1.267513670535184,0.888823529284132,,123.55548823283966,,0.280663057092847,1.7752907249956123e-06,1.176424010971808e-06,1.5386774452231098e-06
3,PI,estado,0.863884039972744,0.5565151225256519,,120.97268995559007,,0.6328884399257138,2.3235433111372138e-06,1.082404385180427e-06,8.546294257511155e-08
4,PI,estado,1.449710002800567,0.9396869604208516,,116.0493757216498,,0.3001672166742549,1.90354149349135e-06,1.0090630633188028e-06,3.5873128342488753e-08
5,PI,estado,1.1336121713159586,0.785551584507515,,120.67341243783618,,0.3831887887042271,2.3703097612148526e-06,4.793963067511325e-07,8.852116841288747e-07
6,PI,estado,1.56572097823355,1.013459003576778,,117.34502558987894,,0.23615724786048223,1.446513755483783e-06,1.5985181880159904e-06,3.2204431512320515e-07
7,PI,estado,1.2850399149712683,0.8976953220778208,,121.64175017548746,,0.307645089665089,2.3320746778929447e-06,1.3430452643609273e-06,3.8092155340527114e-07
8,PI,estado,1.1827215401398679,0.8958261434782409,,123.19555895017567,,0.3129416536819954,1.702533213183668e-06,1.5221965193091469e-06,1.5293018335958717e-06
9,PI,estado,1.654736581738187,1.1247933949172377,,119.322118683583,,0.1895032891330203,2.362929362499435e-06,1.7402917286742845e-06,2.3767259395840372e-07
10,PI,estado,1.1986468532666366,0.8463513903871098,,121.26521293812138,,0.33652132126090806,2.400282153717757e-07,1.0573482240700255e-06,1.4054308665334142e-06
11,PI,estado,1.6597627071937628,1.0543063164968043,,119.0163048234008,,0.21874906638631042,9.446662078943228e-07,1.4072310341004293e-06,2.2880717624404101e-07
12,PI,estado,1.2197210162421521,0.9243950479702732,,121.55992986934491,,0.2957770435451335,3.0363546868292635e-06,1.4508205886548597e-06,1.2813041660022063e-06
13,PI,estado,1.1317220134317265,0.8452630219272845,,119.17159760539063,,0.3767096463134489,2.3255818606446815e-06,4.891114550043714e-07,9.816707555393467e-07
14,PI,estado,0.7774464488223791,0.5794134370911425,,120.29764769197413,,0.6496474721240387,1.5122347775049461e-06,1.2770696962323958e-06,1.8324761758780993e-06
